№ п/п&UUID&Описание&Ответ&Качество&Пользователь
1&eeb3c713b2424981bfe7802cc84663e5&	Пиздец АК Якутия лажают &[['удивление']]&56.9&admin
10536&081b2b8dbbba417ba0aca1d17b4b9532&	Что надо сделать чтобы пропало желание убивать и орать на все что движется ? &[['гнев']]&57.71&StepanovaAV
10537&97010b02e7794418bc255fefa9784618&	Вот учителя обнаглели  Вторая учебная неделя , а уже столько домашки&[['гнев']]&57.71&StepanovaAV
10538&5f9a4bdf118549588f9b7bd6e12cb013&	Блин за все каникулы я еще не вставала раньше  &[['грусть']]&57.71&StepanovaAV
10539&2d46b4367e264ba7bf35bfcbca12da6a&	 | TAE TAE |  Ты даришь нам столько света , а я только и могу , что сидеть в соц . сети и&[['грусть']]&57.71&StepanovaAV
10540&0d7a0f9ca32444dab888e0d8c9eeaa3f&	Что что , а вот это действительно было неожиданно&[['удивление']]&57.71&StepanovaAV
10541&e01e452e9f5e40e49b6b8f838de86eeb&	с первого взгляда ,   кажутся обычной монеткой . а вот когда чтото на них покупаешь , то ты такой :  , как&[['счастье']]&57.71&StepanovaAV
10542&bf88413fa6d84b57affcde5f26ecefed&	До сих пор страшно на него смотреть и вспоминать этот мульт .&[['страх']]&57.71&StepanovaAV
10543&0759d2dd9807489bb036cea36144ecaf&	сүрэх тэппээт олох атак бу неделям икки күнүн биир да параны көтүппэтэхпинэн сөхтөрдүм бэйэбин&['Ни одного']&57.71&StepanovaAV
10544&f2977b57bb734c90ae4b3aefc12d843e&	Через молчание девушек раскрутился и письмо их пустые от их же , они все дальше без языков и без рук&['Ни одного']&57.71&StepanovaAV
10545&adb370d835af4ca9802b6f734df96a26&	Выпавший в плюс  снег  ️ , ударивший после этого до минус  мороз  и московские дороги - &[['спокойствие']]&57.71&StepanovaAV
10546&0a5e9b795d914aedad045751b4c83382&	как же я ненавижу зиму &[['гнев']]&57.71&StepanovaAV
10547&b0579427488343cebdfcd5282be7c761&	предатель ! ! изменщик ! ! ! &[['гнев']]&57.71&StepanovaAV
10548&2ce872749818471e9859857ff7e3b847&	Ты меня балуешь вниманием , боюсь , что так и подсесть на это могу&[['счастье']]&57.71&StepanovaAV
10549&15909720fb064cbdbbdcb06cb031e378&	Утуйан истэхпэ ЧААЙНИКТААХХЫТ ДА диэтилэр &['Ни одного']&57.71&StepanovaAV
10550&2946f58b49c640388cf26b76a1e3e6b5&	Не хочу в больницу Если положат это будет пиздец , пиздец всему &[['гнев']]&57.71&StepanovaAV
10551&39a1e59cd72e42e38211a75e1955c84e&	малиноваяпомада  Ретвитнул ( а ) сладкий горошек &['Ни одного']&57.71&StepanovaAV
10552&7e969347b5f04099b384f7ff18c2e341&	аа как я пойдет на эту сраную фезру если я болею  Я же окончательно сдохну&[['гнев']]&57.71&StepanovaAV
10553&7217e1ee7325438cadbc25e90ed7ba7e&	 | KOOKIE KOOKIE |  Много дел . . .&['Ни одного']&57.71&StepanovaAV
10554&8254f2ecb89d457e920ed4aac005894d&	Угадай , что же это ?&[['удивление']]&57.71&StepanovaAV
10555&c9df331d535c4ff69e27d62b60591718&	стажа попала на больничный с обходом разных спецовв итоге услышала , что физнагрузки запрещены и даже плавать ни ни&[['удивление']]&57.71&StepanovaAV
10556&0c6af42ed8ec4f78aa15366e4d5857c4&	Уволен  Ураааааа   домой ️️️ Катин Тема️&[['счастье']]&57.71&StepanovaAV
10557&2a29bb090281484da14f7846880e5397&	Я сдохну без книги , надо было мне  брать&[['грусть', 'гнев']]&57.71&StepanovaAV
10558&1b27d76045c24f4f8c15b118a52e5aef&	Спи крепко , пусть тебе снятся Ларри  И главное крепких нервов на завтра , Котик !&[['спокойствие', 'счастье']]&57.71&StepanovaAV
10559&8e9c2c55b6d541139b76f555791b150f&	Не была в метро недели  и чтото совсем не хочется &[['грусть']]&57.71&StepanovaAV
10560&0b1dde9137c14cfd8df6fd287238920c&	Этот день просто выжал из меня все соки&[['грусть']]&57.71&StepanovaAV
10561&2b8391ee405d4da58779260043b36cff&	И еще кое кто подарил мне реально ящик косметики .&[['счастье']]&57.71&StepanovaAV
10562&a4a670b18978450bb07f96d968249e52&	Стояла на остановке , почувствовала вибрацию из земли , будто ктото сверлит изнутри , или литосферные плиты двигаются .  # погода # гроза&[['страх']]&57.71&StepanovaAV
10563&c02440f296e749fe80838f29c12a7899&	Когда надо такси не ищется или ждать его надо дофига , что за прикол такой ?  pictwittercomYnyyxOwUB&[['удивление']]&57.71&StepanovaAV
10564&8622463789f1459cb025a4f1ed15284c&	Ура я дождалась  ТэТэ&[['счастье']]&57.71&StepanovaAV
10565&cb97a7ce12b2459181e47728ae6d63d9&	Учеба  .&[['спокойствие']]&57.71&StepanovaAV
10566&e0970ccf9e8e4404a1535dbf28728d1a&	/ ⠀ / На вопрос о том . .&['Ни одного']&57.71&StepanovaAV
10567&0cb30b42779b46de8a2d9ebbfb368ecd&	эээхх &[['грусть']]&57.71&StepanovaAV
10568&a8ccc3b9ec694b80a02441682e163a96&	ПОЧЕМУ ? ? ? &[['удивление']]&57.71&StepanovaAV
10569&8c385d74efd44d7d94c22180e12dc72a&	Вам этого дна мало ?  pictwittercomzRkTVkk&[['удивление']]&57.71&StepanovaAV
10570&f3f253d9c43b48c38f5c0ac3199b18f9&	О Сенцове , Карл .&[['спокойствие']]&57.71&StepanovaAV
10571&a5f9abdb9b3544fc83d4b9b0e74fbf4e&	еще и новая форма бледно розового цвета  Когда же уже до дна доберемся , чтобы дальше был только путь наверх ?&[['удивление']]&57.71&StepanovaAV
10572&e1b8875f983b46cfb2a170a7ae6b79cb&	Робот честно победит  Ннда . . . . куда катится мир . . . &[['грусть']]&57.71&StepanovaAV
10573&e1150a96312847fa8f3f0d5393b93cc6&	А жаль&[['грусть']]&57.71&StepanovaAV
10574&02ee0739e9ff49c1a4ad8647bd00c4ee&	бляяя , сегодня случайно посмотрела дату и офигела , через неделю нг   ️ . .&[['удивление']]&57.71&StepanovaAV
10575&9f1748aebeb347d5b8cf835d151236e3&	Бляяяя альбом Сынри просто восхитительный      Все песни такие энергичные прям как я люблю Сынри , ты умница  прекрасно поработал&[['счастье']]&57.71&StepanovaAV
10576&b1e5de4be5c04b51af63253d5d2d4092&	Ты едешь в Египет ? ? ? ?  повезло !&[['удивление']]&57.71&StepanovaAV
10577&07cf0d4f6bb9442c8c80c3d0ed11b677&	/ обнимает меня / - сладкая такая у меня диабет&[['грусть']]&57.71&StepanovaAV
10578&d3f5da2e16b440da98c86768df8f6b53&	Конечно , это нечестно , но все же . . . &[['грусть']]&57.71&StepanovaAV
10579&61b5af522d654ea981bdb9c99c15b82a&	Когда болею , мой голос похож на голос прокуренной тетки , а если я смеюсь , то вы услышите злую хрипящую гаргулью&[['грусть']]&57.71&StepanovaAV
10580&e34361b41d5d45489512ac552821e2a4&	Не думала , что существуют настолько похожие по внешности люди &[['удивление']]&57.71&StepanovaAV
10581&b8d990cfb0424569ae2ed6093d351dbc&	  Тэлери    стэньте tfboys Ретвитнул( а ) пепел&['Ни одного']&57.71&StepanovaAV
10582&814154fa28fb4896b3ff880b61052ff9&	Я так усталаааааа А еще им глаза нужны&[['гнев']]&57.71&StepanovaAV
10583&33f7d5647238482595baa5274169e3be&	Даже во сне не могу спокойно потрахаться &[['гнев']]&57.71&StepanovaAV
10584&1ae50163da9e4ec787a6653665a2c323&	Зачистить поля конопли ️ pictwittercomAgBZvkQz&['Ни одного']&57.71&StepanovaAV
10585&bc4f699dd49847778de9fa9d711353bf&	А я уже волноваться стал &[['страх']]&57.71&StepanovaAV
10586&9019ccd3e104433b83d646ee39aab82f&	 ⠀ Через  минут мы приземлимся , я разбужу тебя , а ты сонный , возможно будешь хныкать и бормоча под нос потопаешь на&[['спокойствие']]&57.71&StepanovaAV
10587&b53f01ab9b204f00ba7a2d7e08296dfe&	А ты супер киса и вообще люблю тебя&[['счастье']]&57.71&StepanovaAV
10588&0be4839764c9442d9bb1b67dfa556bf7&	ааааа ! оденьте ему обратно пиджак ! ! мои глаза&[['отвращение']]&57.71&StepanovaAV
10589&7d82342b179e41eba08951277b03af64&	Обберут налогами народ российский до трусов , волей - не волей придется зимой греться на лыжах .&[['грусть', 'гнев']]&57.71&StepanovaAV
10590&ef4c588cac744b9b90ab683621db3dbb&	От этих соотечественников ужас как пахнет даже китайцы были чище&[['отвращение']]&57.71&StepanovaAV
10591&38f439e4e89e4c48b6d05843ac48657d&	Вообще - то да Ты мне на оры отвечала ток когда я про видфест истерила на самом видфесте&[['гнев']]&57.71&StepanovaAV
10592&34fd1bb9c7a74ad0bda1b8b866c1df49&	Тааааак Какой город , я к вам хочю&[['удивление']]&57.71&StepanovaAV
10593&bfb9e2a314d94c349a397a128cc34fb8&	How to Survive   Валим хотячих  Часть  с помощью YouTube&['Ни одного']&57.71&StepanovaAV
10594&144c8fa203d84dab853441152216d821&	Бля все твитять про Чонгука , а я здесь дораму смотрю &[['удивление']]&57.71&StepanovaAV
10595&7bb0a1d6bd914466a7049f83f0e26585&	И снова переезд Из одной комнаты в другую  Мы с коротышкой ( подушка ) как бомжи Ps : многие думают , шо это подушка&[['грусть']]&57.71&StepanovaAV
10596&2ed463165b8f4436b6a8b6b266b02861&	Хочу и пишу &[['спокойствие']]&57.71&StepanovaAV
10597&38ccf665c2f0401ea6fa9e9e96df7039&	Сегодня решили замутить шашлыки , на горизонте гроза .&[['грусть']]&57.71&StepanovaAV
10598&d4e00add1776498e944f569a329ea6c6&	Нуна , не надо  ( медвежьи обнимашки )  ️️️&[['отвращение']]&57.71&StepanovaAV
10599&f2003c531eba47d0ac1e7f88712273b2&	Новая глава .&[['спокойствие']]&57.71&StepanovaAV
10600&02b4aade2cf245c49cde8492c23211ad&"	У нас в отделе только двое смотрят \ любят футбол: я и начальник а остальные - "" придурка не могут мячик "" поделить  #"&[['гнев']]&57.71&StepanovaAV
10601&5bdaf7ea02cc4ab28722552900487089&	Чаги  Ретвитнул ( а ) BigHit Entertainment&['Ни одного']&57.71&StepanovaAV
10602&5919c6f8e7fe489b91652f30cb4a8504&	Ну пральна похуй на села ебаные главное москва какой стала выборы мера приходите приходите Тьфу на вас ублюдки шоб вы фсе здохли&[['гнев']]&57.71&StepanovaAV
10603&b89ea55ba1e34736aba0523254144471&	Сегодня надо делать домашку , а я не хочу , а надо YDidkovskaya &[['грусть']]&57.71&StepanovaAV
10604&49fcddf108f947f3a31bfb83eb3ae150&	Потом почка начала болеть , как то иду в туалет - море крови  .&[['удивление']]&57.71&StepanovaAV
10605&147c85e262df4168a74397dcffd25c80&	 - литровая кастрюля , например .&[['спокойствие']]&57.71&StepanovaAV
10606&c5641e7c7c9741d8ac791e246a7d5e28&	Ахахах это про меня что ли ? &[['удивление']]&57.71&StepanovaAV
10607&6e345c8f7ded411a8088620509d70610&	Ух ебать я счастлив pictwittercompiJYRFv&[['удивление']]&57.71&StepanovaAV
10608&0e2519fcfce74959aee706b010404361&	Вороненков ? ? ! &[['удивление']]&57.71&StepanovaAV
10609&77726c0a0f4a4fbab6ba76bd59339db9&	еще  адских раза &['Ни одного']&57.71&StepanovaAV
10610&dfb1c4715ec74bf781ba11df78fea107&	Эхлээд хүмүүс манай мангар хар гээд байхаар нь хэн юм бол гэж их гайхдаг байсан шүү &['Ни одного']&57.71&StepanovaAV
10611&e2d699bb04fc4c1abe3342a5f49d79ca&	ообоги скоро  kkkk&[['удивление']]&57.71&StepanovaAV
10612&e163c7835f144a5cb9f8e231755f6077&	И снова переходник для наушников забыла взять&[['грусть']]&57.71&StepanovaAV
10613&01d5329ec33246bcb75aa9b32314bab7&	Где кровище из раны после оторванной головы ? ?&['Ни одного']&57.71&StepanovaAV
10614&33395e7aa9034a6187860857fc22736f&	МАНУЭЛА  Ретвитнул ( а ) Лента&['Ни одного']&57.71&StepanovaAV
10615&89a88960d9e14a3786fb5dafb242aef8&	Мама : &['Ни одного']&57.71&StepanovaAV
10616&73630b47fe4c4a4a84549fd982f21543&	Ладновсем спокойной ночи&[['спокойствие']]&57.71&StepanovaAV
10617&4d39fee1e3024d058edf77539e2da608&	# Repost tochildren with getrepost ・ ・ ・ Друзья , время летит , а сбор так и стоит на месте .&['Ни одного']&57.71&StepanovaAV
10618&4b45487bb09f4d52ab0ab7e86d017559&	Доброе утро , плюшечки ️ Как спалось ?&[['спокойствие', 'счастье']]&57.71&StepanovaAV
10619&7d5fe04a4423483da19d4b6ecec42dce&	А ты мне и не жаловалась   &[['удивление']]&57.71&StepanovaAV
10620&e9a7770aad794919ab466fa333f2056f&	Ойй , я такое еще не видела &[['удивление']]&57.71&StepanovaAV
10621&b30171222e024899b97a5cc0e241b90d&	HerbandRoots stevesilberman &['Ни одного']&57.71&StepanovaAV
10622&10b570df62d84716bafb571a705a3652&	В шарагу и обратноя гуляю только в среду и субботу тк хожу на танцы ... сегодня погулял&[['спокойствие']]&57.71&StepanovaAV
10623&414ea53435744ee3a6818b8131929c88&	Так хотела зиму Но рукииии мерзнут&[['грусть']]&57.71&StepanovaAV
10624&288383fe60b14c0c9d4c326d61e025de&	Я так замечательно спала , а теперь я не могу заснуть &[['грусть']]&57.71&StepanovaAV
10625&16dbd556c6294e17b39d452f4c6d00eb&	И дело совсем не в экзамене&[['грусть']]&57.71&StepanovaAV
10626&2b3911d74e47464bbf2a2db1c638068c&	Моя самая сладкая булочка с корицей  Ыаааа pictwittercombBAFKfqQF&[['счастье']]&57.71&StepanovaAV
10627&c5c9622f05b94031a78bc9b10b217c0b&"	Болельщики не хотят идти на домашние матчи "" Наполи ""   pictwittercomUHyTalCgs"&[['спокойствие']]&57.71&StepanovaAV
10628&09040694b9004ccfa0b3b3faca750964&	Неплохо&[['спокойствие']]&57.71&StepanovaAV
10629&eedcbd88fe2b4f7389421eb4ac792e30&	Уже с утра на нервах и со слезами на глазах А сегодня самый замечательный день тактодр крошки одной Я должна привести себя в чувства &[['грусть']]&57.71&StepanovaAV
10630&723a78779fc6472f9abbbb7af8bf4eb1&	это театр pictwittercompzHroFdhN&[['спокойствие']]&57.71&StepanovaAV
10631&4b70ce782af0480cbc39e4808b57fcec&	# BTSDNATODAY черт , не успела я гроб заказать и купить валерьянку  и ваще мне страшно , я в подвал pictwittercomlcsJaVTq&[['страх']]&57.71&StepanovaAV
10632&87c9c9eeb7834d18b67546df82cbf2ab&	Господи , какие милые️&[['удивление']]&57.71&StepanovaAV
10633&52bae05d1c0c451689a0dfacb01b038c&	все в людей как у людей , а у меня как всегда через жопу &[['гнев']]&57.71&StepanovaAV
10634&29b65bece0e74fbf9cbe93d8f07fcd56&	Ахахах , заболел&[['удивление']]&57.71&StepanovaAV
10635&635b5bec12f3412d99b9dce4dffbf080&	Хливкие шорьки Пырялись по наве , И хрюкотали зелюки , Как мюмзики в мове&['Ни одного']&57.71&StepanovaAV
10636&2fe0e61d1f3644e2a15890bc8a320e47&	.. эхехехепро честь он там еще что то насвистывал ладно лети голубок , через запад на восток&[['удивление']]&57.71&StepanovaAV
10637&19a0e49fa37644ab934f72d6bf02c8db&	Так херово , еще не было&[['грусть']]&57.71&StepanovaAV
10638&c6c97c0b2c314f6bb5f9c212fad70c01&	Герпис выскочил очень неожиданно &[['грусть', 'удивление']]&57.71&StepanovaAV
10639&b2a51a58d2f24982ada00d0570bcacc3&	я сейчас с джонханом и докемом они так быстро пьянеют ох &[['удивление']]&57.71&StepanovaAV
10640&368c381eaca247d6886c35392d291b71&	О да , да , еще ! » , сдерживая порыв , впиваясь Ване в плечо пальцами , говорила я , пока он выбирал себе&[['счастье']]&57.71&StepanovaAV
10641&fa05e54fa3c945de8774ccd394603fae&	Вернее так , оказывают отрицательное влияние  ⠀ Низкая инфляция , как неоднократно признавались глава Центробанка Эльвира Набиуллина и министр экономического развития Максим Орешкин ,&['Ни одного']&57.71&StepanovaAV
10642&8528933c23724ce398950642335469a6&	Но СЮгу я им не прощу &[['гнев']]&57.71&StepanovaAV
10643&d45d73b6234a42779b47054c77e6ac1a&	Тонкая грань мысли , социология и психология pictwittercomOJuXUjhaF&[['спокойствие']]&57.71&StepanovaAV
10644&9ec7763118cb4951bf74dbe2c51109f5&	Моя мечта стать моделью просто напросто рухнула Как жить ? &[['удивление']]&57.71&StepanovaAV
10645&b71eed3ffe7a462185c948920f724cea&	У меня ребенок в колготках собралась идти в танцевалку , аргументируя это тем , что там жарко &['Ни одного']&57.71&StepanovaAV
10646&359203299ddb4fd5b218a668ffbc26be&	Теперь они в этом дерьме поуши&[['отвращение']]&57.71&StepanovaAV
10647&e984f24b3b7840e4917331aa817e4a20&	С этими и другими вопросами будем вместе разбираться и взвешивать все за и против   . . .&['Ни одного']&57.71&StepanovaAV
10648&48afeb9988a44051a7f3bec4482c1b02&	Пффф я до отъезда высплюсь , и все ок будет , так что не надейся&[['спокойствие']]&57.71&StepanovaAV
10649&0586d92c065d4a1cb842f1ba3781cb22&	Сайхан амраарай &['Ни одного']&57.71&StepanovaAV
10650&f0db2c036ea84bc1b04e639446e5e08f&	Ооой меня от этой Даши из холостяка воротит &[['отвращение']]&57.71&StepanovaAV
10651&b5d28ff815f64a969c6927d8c3da1423&	Как мне все это тяжело дается  Я переживаю  Но головой все понимаю &[['страх']]&57.71&StepanovaAV
10652&a27dccf82e564df0a5dc0416dc743a81&	Я даже посуду не мою - знаю , что включат на днях ! &[['счастье']]&57.71&StepanovaAV
10653&f619bd44a474420ba02522214849120a&	Премерзкое насекомое &[['отвращение']]&57.71&StepanovaAV
10654&b5f89a3ecacd479ab22b90d96b757fdc&	- чимин , у нас нет дополнительных приборов - - тогда тебе придется кормить меня дальше довольное лицо  # jinmin # BTSpictwittercomNprQilWDgd&[['счастье']]&57.71&StepanovaAV
10655&ce869debccff45469950810506087161&	Милая , интересная , солнышко &[['счастье']]&57.71&StepanovaAV
10656&64e3c817f20d4a1a93ac5feb984c8731&	я немножечко ник поменяла , НО Я ВСЕ ТАК ЖЕ ОСТАЮСЬ ТАПОЧКАМИ ДЖИНХЕНА НЕ ПОТЕРЯЙТЕ ИХ&['Ни одного']&57.71&StepanovaAV
10657&c9727649ef3046899014dc3eee60c07a&	А это даже неизвестно кто такие  pictwittercomNRdHlwdR&[['удивление']]&57.71&StepanovaAV
10658&6dd5ee8fb7f54944b1b154afd5281001&"	Я хотеть спать , но история такая "" Ааааа , фигли тебе . . ""  # IVoteBTSBBMAs BTStwt"&[['удивление']]&57.71&StepanovaAV
10659&b7abc1405825450d8f7df5cd78915e85&	На Кубу дешевле обойдется - экономьте деньги налогоплательщиков &[['спокойствие']]&57.71&StepanovaAV
10660&6d4d81cdd84444ffa00ba32e850ac6f7&"	Мне понравилось видео ""  Надавить на жалость не удалось . """&[['спокойствие']]&57.71&StepanovaAV
10661&67669b462fa24de7bc5fbe0199510623&	Какая же сильная серия&[['удивление']]&57.71&StepanovaAV
10662&0fcbe9e0088547e79fd7bbb7ca0981fa&	хотя , если честно , исполнение как в пьяном караоке&[['отвращение']]&57.71&StepanovaAV
10663&36f6c9b543f34cb5bf14a16fe3a076af&	Доброе утро Мне так плохо Тошнит очень и живот болит А еще голова кружится  Кажется , что я сейчас упаду Как дожить ? Что&[['грусть', 'отвращение']]&57.71&StepanovaAV
10664&460271d3f7a048b284c9562eedbd61e4&	Мы с БуКо сегодня мысленно  &[['спокойствие']]&57.71&StepanovaAV
10665&8f8f7a5ce2684fde92814bc83c22dab6&	 # спокойнойночимир @ Россия Ростов На Дону &[['спокойствие']]&57.71&StepanovaAV
10666&e3542e1761454090b71fc81548fc2254&	через час - два в ленте появится куча фоток со вчерашнего дня ( выпускники проснутся ) &[['спокойствие']]&57.71&StepanovaAV
10667&c74c7a9bf5ec4b1aafc15153fc4197d2&	Бандерівці － ви найкращі в світі .&['Ни одного']&57.71&StepanovaAV
10668&1cd6f4adb61b4b76960221278536eedd&	На след неделе уже привезут холодильник&[['счастье']]&57.71&StepanovaAV
10669&1adde44e1b964daea2dc607cc3900ea4&	Бро я такая же , сижу сопли подтягиваются &[['грусть']]&57.71&StepanovaAV
10670&ca4c595e419a41eeae20a163533e459f&	bloodssugarbaby моя С не да , я буду беречь тебя как самое ценное что у меня есть  Ты будешь моим маленьким но очень ценным&[['счастье']]&57.71&StepanovaAV
10671&05b31bedf2c74327b8680a8a93e7e153&	не понял : они что , играя постановочно в футбол поставили стенку империализму ?&[['удивление']]&57.71&StepanovaAV
10672&abe02218fafa41e4a727d8b74b493f6c&	Ну раз ты сказал , то уж отвечай за свои слова ! &[['удивление']]&57.71&StepanovaAV
10673&e9373962253048739a983774f72b48ae&"	Видео "" Стрим   АННА ОТКАЗАЛА ДИНАСТИЯ КОК   | Симс  все дополнения"&['Ни одного']&57.71&StepanovaAV
10674&cd83d7f04953498e9c4951b348fc1b14&"	То чувство , когда еще не посмотрела вчерашнюю серию "" Холостяка "" , но уже в курсе всех событий "&[['грусть']]&57.71&StepanovaAV
10675&9d10951cb7614e228cdc561a800bf7b3&	это ты на них ? ? ? &[['удивление']]&57.71&StepanovaAV
10676&7185dc00d5c545e0a71a1bbf2d6c5560&	Ойрд естой аймар халуун аймар их ажилтай байноо жиргээх ч завгүй л байндоо pictwittercomUSFRNRSc&['Ни одного']&57.71&StepanovaAV
10677&35be6cec9dec4c6cb2fbc1c392e71479&	уже ничего не хочу &[['грусть']]&57.71&StepanovaAV
10678&df3555c1365e447a8805ea921c1f332a&	Gawd he so fine !&['Ни одного']&57.71&StepanovaAV
10679&a99bbd2a06ac446c80a4f431d8b38308&	 минут я умираю &[['грусть']]&57.71&StepanovaAV
10680&4bad44a514f24a62ae1f986a61bddf0e&"	"" не все подходят по майндсету "" © "&[['грусть']]&57.71&StepanovaAV
10681&7d8a7609ef0c4622b679495b12e4897f&	Так устал за этот , что просто хочу приехать домой и завалится А так с друзьями давно не виделся&[['грусть']]&57.71&StepanovaAV
10682&001f313015af4ff8bebee3e075af9774&	Агилера или Игги ?&['Ни одного']&57.71&StepanovaAV
10683&b29cfdce7377475a8a358d0b9a56b52b&	 человек за сутки &['Ни одного']&57.71&StepanovaAV
10684&f9177383e4c14bce93a4ffcf2e16e822&	Они мне адресованы&[['спокойствие']]&57.71&StepanovaAV
10685&25f5696a59ae435ab7919d6d63987811&	И вроде бы ничего страшного нет , но как же меня в такие моменты тошнит от этого Минска ( или от учебы ) .&[['грусть']]&57.71&StepanovaAV
10686&1def01fc14634ceb9f3e1456cb5dbefa&	Se xyн- тер болеет  Ретвитнула ) ай  junmyeon&['Ни одного']&57.71&StepanovaAV
10687&949493fa78cf49f1a246640605d678e9&	плюш bts   Ретвитнул ( а ) BigHit Entertainment&['Ни одного']&57.71&StepanovaAV
10688&83346a1dcd2941e58a4cc88ce94420b6&	И сегодня моя последняя рабочая ночь в этом банке У меня будет нормальный режим , ночью спать &[['счастье']]&57.71&StepanovaAV
10689&03aa00aa710c4a3088eee9f9b4eddd31&	Я откинулась неделю назад , уже неделю просто страдаю херней и РЕШАЮ РЕШУЕГЭ&[['грусть', 'гнев']]&57.71&StepanovaAV
10690&99a42406159046ca84b50fe69ad80036&	В Инстаграме , кроме прочего дико бесят фото двух городов  Парижа и Дубая .&[['гнев']]&57.71&StepanovaAV
10691&40d1f3c3cafe49098a16b7e90e93624a&	привет , дейзи Ретвитнул( а ) - ˏлэривейн´ˎ -&['Ни одного']&57.71&StepanovaAV
10692&6d0d42a30a034390ab9a300818fd40f1&	Какой ж сука сладкий кальмар  Конфеты зачастую менее сладкие&[['удивление']]&57.71&StepanovaAV
10693&100559ea4fd8476280c32b0910680a2d&	Блятб Ахренеть Я не думала , что доживу &[['удивление']]&57.71&StepanovaAV
10694&9017acb288134e228e612062983c3cd9&	пошлые шутки вонлав федук вонлав воняет фу&[['отвращение']]&57.71&StepanovaAV
10695&de450b927d7e4afd80291eb40dae4ac2&	Еще два фолловера и будет К , это невероятно &[['удивление']]&57.71&StepanovaAV
10696&794d641d27404b1abd2c701e6050f697&	Ведущая Даша Трегубова ( Dasha Tregubova ) призналась , что ее образ на экране совсем не такой , как в реальной жизни  &[['спокойствие']]&57.71&StepanovaAV
10697&1a0a3b4ff6d64f6aa068eb37250bb339&	Фу , гидота &[['отвращение']]&57.71&StepanovaAV
10698&422475f683504c57894737f117dc3853&	Ужасно осознавать , что ты уезжаешь от человека , который является для тебя чемто большм&[['грусть']]&57.71&StepanovaAV
10699&a2fe1df801bc49f983d84a917e5d58f0&	сложнолатынь только на первом курсе учила вот сижу читаю и такое ощущение что колдуюкак бы дьявола не вызвать   &[['грусть']]&57.71&StepanovaAV
10700&c1b3f920a57d49e68f48982b75c41b44&	Ну вот чего чего не ждааааал . . .&[['грусть']]&57.71&StepanovaAV
10701&5a64c554a3b04e3eb38fe682c38d07e6&	Выспался от  часов сна &[['спокойствие']]&57.71&StepanovaAV
10702&29cf3ff9859242e2b2cda3143b91b5b7&	Паренек из Малыш на драйве теперь поет и снимается в клипах&[['счастье']]&57.71&StepanovaAV
10703&94fa0aeabd884f75a37d764e10698a4a&	Хочется убить себя за отрывок из песни в голове с утра &[['гнев']]&57.71&StepanovaAV
10704&f34553fb19444fd5b308012a9e8cc719&	Ого  уже больше  тысяч ) )&[['удивление']]&57.71&StepanovaAV
10705&0dc40e6f33cc4561a49c85763b950f7e&	Сначала дать выходной во вторник , настроиться на него , и тут сегодня взять и все отменить .&[['грусть', 'гнев']]&57.71&StepanovaAV
10706&62472b36b05e4dad9c33123a575220f6&	бляяяш папа не может сам автокад установить  , Вову хрен допросишься иногда я думаю , что когда Вова вырастет он станет депутатом , потому&[['гнев']]&57.71&StepanovaAV
10707&bfdb2ddfe537462aa2d5de4217b4a0ee&	Это ппц , только один день хаалла диир&[['удивление']]&57.71&StepanovaAV
10708&919d2d9ba7b8430d821377e053f8351e&	довайте верить что они все таки будут вместе бекоз они ахриненые черт&['Ни одного']&57.71&StepanovaAV
10709&1ee74ebe7d0f40b9b608d8ba607a562a&"	Посмотрела мульт "" Эмоджи "" , там все так реалистично сделали , будто и вправду смайлы живы е ."&[['удивление']]&57.71&StepanovaAV
10710&9b61a5891dbc437bb3279fc479b60f2b&	Доброе утро За всю неделю сегодняшнее утро началось с хорошей погоды .&[['счастье']]&57.71&StepanovaAV
10711&56b8dddc372c4075b4835b027979278d&	人们对组建亚洲联盟的货币联盟非常感兴趣 。&['Ни одного']&57.71&StepanovaAV
10712&886c1a1fcf194444864988008a9e3c0d&	Все так сложно строить с нуля , а рухнуть может все в один момент . &[['грусть', 'удивление']]&57.71&StepanovaAV
10713&1d48f62a4c9a4e70aadca8e003d75071&	Эксо и СМ стоит по скорее найти им ее , а то они уже позорят их своей аморфностью как следят то , а ?&[['удивление']]&57.71&StepanovaAV
10714&0423191aa99042d1bc5f85e08c077ff0&	Круто да пиздец весело ️&[['гнев']]&57.71&StepanovaAV
10715&c12bd834cfe74d9e8d6d20d1d1e4e2e0&	Rituel à le Dattier de le désert kloranefrance &['Ни одного']&57.71&StepanovaAV
10716&4755cb2247aa45b4a7b8516dd106d7b1&	Инник дьыалаларга олох сууруехпун ба арбаппын &['Ни одного']&57.71&StepanovaAV
10717&40caad2ddb6c48a4a46330d42f63415c&	И так хочется Тебя комплиментами засыпать ) Я вообще Еле держусь сейчас️&[['счастье']]&57.71&StepanovaAV
10718&1d3a0a50f2c644198cca07fccae7c22d&	А мужа ключ есть .&[['спокойствие']]&57.71&StepanovaAV
10719&b4ab0f2fe4dd47a2b66596860c2db36e&	Изза болезни проблемы со слухом и я стала  а еще я сдала нормативы и стала калекой( но такого смайлика нет )&[['грусть']]&57.71&StepanovaAV
10720&5e570bde0f9d442989be44468f04ead1&	Мой родной город Иркутск но я живу в Крымске но это не означает что я не люблю этот город  я просто хочу вернутся&[['грусть']]&57.71&StepanovaAV
